"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104964",5695.70092228863,0.44676540686181,0.0892037799382809,5.00836855984043,5.48933432655426e-07,1.63653481054457e-05
"ENSG00000165633",2313.2210214077,0.617537297092497,0.123382802361499,5.00505163825972,5.58470579312054e-07,1.66169684158764e-05
"ENSG00000144724",3408.0745976034,0.905408074701587,0.180925870638815,5.00430409153077,5.60641955245921e-07,1.66488674749009e-05
"ENSG00000211448",661.830448623151,1.46914315713952,0.293643043727779,5.00316009018584,5.63980667453838e-07,1.67152391557503e-05
"ENSG00000075240",568.647670737819,-1.00551431088275,0.201055187991485,-5.001185599475,5.69788265219229e-07,1.68215268552538e-05
"ENSG00000166272",2587.2804339681,0.711965327514328,0.14235255649691,5.00142284083098,5.6908742823468e-07,1.68215268552538e-05
"ENSG00000131236",7167.07900434856,0.545312232275549,0.109069427475871,4.99967997353051,5.74255484669538e-07,1.69190180383131e-05
"ENSG00000197045",1873.54601772008,0.576603906315009,0.115336438330631,4.99932124366525,5.75324812791762e-07,1.69190180383131e-05
"ENSG00000150990",373.367493598381,0.639530402152424,0.128004659230786,4.9961494057758,5.84863551483513e-07,1.71661986186392e-05
"ENSG00000184575",3434.22990481484,-0.531340195413741,0.106381111253144,-4.99468551469977,5.89317190659543e-07,1.72634600629377e-05
"ENSG00000170624",2127.49523230179,-1.18381478000833,0.237562440528159,-4.98317317071008,6.25499234931614e-07,1.8288003693126e-05
"ENSG00000145901",2605.13238921682,0.638568005136661,0.128228591917075,4.9799190304579,6.36108811537782e-07,1.85623659937181e-05
"ENSG00000158301",367.961893864344,-0.919546589348755,0.184773551040635,-4.97661372079455,6.47062674134611e-07,1.88457003841706e-05
"ENSG00000108468",1468.14631849113,-0.470809073097065,0.0946473627847974,-4.97434961994196,6.54670618850851e-07,1.89942270545903e-05
"ENSG00000198691",40.3621275403212,1.83092402407185,0.368063588876925,4.97447745281885,6.54238781952174e-07,1.89942270545903e-05
